"num_orders","num_order_days","days_since_last","order_freq","ave_stock_per_order","ave_qty","ave_purchased","total_unique_stock","total_qty","total_purchases","customer_activity_score","label"
"1","1","373","0.2680965147453083","14","111","233.45000000000002","14","111","233.45000000000002","0.01","3"
"1","1","373","0.2680965147453083","27","160","487.75","27","160","487.75","0.01","3"
"1","1","373","0.2680965147453083","69","197","313.49","69","197","313.49","0.01","3"
"1","1","373","0.2680965147453083","22","313","311.81","22","313","311.81","0.01","3"
"1","1","373","0.2680965147453083","13","190","489.6","13","190","489.6","0.01","3"
"1","1","373","0.2680965147453083","5","51","115.65","5","51","115.65","0.01","3"
"1","1","373","0.2680965147453083","9","38","161","9","38","161","0.01","3"
"1","1","373","0.2680965147453083","74","160","277.35","74","160","277.35","0.01","3"
"1","1","373","0.2680965147453083","63","153","337.74999999999994","63","153","337.74999999999994","0.01","3"
"1","1","373","0.2680965147453083","28","71","102.79","28","71","102.79","0.01","3"
"1","1","373","0.2680965147453083","14","74","205.86","14","74","205.86","0.01","3"
"2","1","373","0.2680965147453083","4","72","128.22","8","144","256.44","0.014829268292682926","5"
"1","1","373","0.2680965147453083","11","138","369.50000000000006","11","138","369.50000000000006","0.01","3"
"1","1","373","0.2680965147453083","1","96","177.60000000000002","1","96","177.60000000000002","0.01","2"
"1","1","373","0.2680965147453083","51","173","243.27999999999997","51","173","243.27999999999997","0.01","3"
"1","1","373","0.2680965147453083","8","71","101.55","8","71","101.55","0.01","3"
"1","1","373","0.2680965147453083","1","8","79.6","1","8","79.6","0.01","2"
"1","1","372","0.2680965147453083","10","298","350.06","10","298","350.06","0.010026612187844413","5"
"1","1","372","0.2680965147453083","17","113","311.25","17","113","311.25","0.010026612187844413","0"
"1","1","372","0.2680965147453083","9","54","207.5","9","54","207.5","0.010026612187844413","5"
"34","2","372","0.5361930294906166","8.735294117647058","50.970588235294116","158.565","21","1733","5391.21","0.16981657324973556","1"
"1","1","372","0.2680965147453083","1","12","35.400000000000006","1","12","35.400000000000006","0.010026612187844413","2"
"1","1","372","0.2680965147453083","56","106","353.19","56","106","353.19","0.010026612187844413","5"
"1","1","372","0.2680965147453083","3","30","38.1","3","30","38.1","0.010026612187844413","5"
"1","1","372","0.2680965147453083","16","144","326","16","144","326","0.010026612187844413","5"
"1","1","372","0.2680965147453083","10","147","137.35","10","147","137.35","0.010026612187844413","5"
"1","1","372","0.2680965147453083","2","4280","2002.4","2","4280","2002.4","0.010026612187844413","1"
"1","1","372","0.2680965147453083","1","36","106.2","1","36","106.2","0.010026612187844413","2"
"1","1","372","0.2680965147453083","1","72","244.08","1","72","244.08","0.010026612187844413","2"
"1","1","372","0.2680965147453083","17","197","208.97","17","197","208.97","0.010026612187844413","5"
"1","1","372","0.2680965147453083","13","92","248.1","13","92","248.1","0.010026612187844413","0"
"1","1","372","0.2680965147453083","21","122","127.08","21","122","127.08","0.010026612187844413","5"
"1","1","372","0.2680965147453083","18","93","303.96999999999997","18","93","303.96999999999997","0.010026612187844413","0"
"1","1","372","0.2680965147453083","3","13","50.550000000000004","3","13","50.550000000000004","0.010026612187844413","5"
"1","1","371","0.2680965147453083","39","343","754.87","39","343","754.87","0.010053366395342569","5"
"1","1","371","0.2680965147453083","14","35","230.25000000000003","14","35","230.25000000000003","0.010053366395342569","0"
"1","1","371","0.2680965147453083","6","106","71.13999999999999","6","106","71.13999999999999","0.010053366395342569","5"
"1","1","371","0.2680965147453083","41","80","123.07","41","80","123.07","0.010053366395342569","5"
"1","1","371","0.2680965147453083","3","5","39.75","3","5","39.75","0.010053366395342569","5"
"1","1","371","0.2680965147453083","23","162","371.80000000000007","23","162","371.80000000000007","0.010053366395342569","0"
"1","1","369","0.2680965147453083","95","211","343.28","95","211","343.28","0.010107305441144592","5"
"1","1","369","0.2680965147453083","41","413","623.75","41","413","623.75","0.010107305441144592","5"
"2","1","369","0.2680965147453083","13","33.5","77.715","25","67","155.43","0.014988394410282711","5"
"1","1","368","0.2680965147453083","9","91","375.69","9","91","375.69","0.010134492596114658","5"
"1","1","368","0.2680965147453083","1","72","76.32000000000001","1","72","76.32000000000001","0.010134492596114658","2"
"1","1","368","0.2680965147453083","4","39","56.25","4","39","56.25","0.010134492596114658","4"
